Vds	Id(M1)
Step Information: Vgs=2  (Step: 1/6)
1.400000000000000e+00	2.738450e+00
1.500000000000000e+00	2.739444e+00
1.600000000000000e+00	2.740437e+00
1.700000000000000e+00	2.741430e+00
1.800000000000000e+00	2.742423e+00
1.900000000000000e+00	2.743416e+00
2.000000000000000e+00	2.744409e+00
2.100000000000000e+00	2.745402e+00
2.200000000000000e+00	2.746395e+00
2.300000000000000e+00	2.747387e+00
2.400000000000000e+00	2.748380e+00
2.500000000000000e+00	2.749372e+00
2.600000000000000e+00	2.750364e+00
2.700000000000000e+00	2.751356e+00
2.800000000000000e+00	2.752348e+00
2.900000000000000e+00	2.753340e+00
3.000000000000000e+00	2.754332e+00
3.100000000000000e+00	2.755323e+00
3.200000000000000e+00	2.756315e+00
3.300000000000000e+00	2.757306e+00
3.400000000000000e+00	2.758297e+00
3.500000000000000e+00	2.759288e+00
3.600000000000000e+00	2.760279e+00
3.700000000000000e+00	2.761270e+00
3.800000000000000e+00	2.762260e+00
3.900000000000000e+00	2.763251e+00
4.000000000000000e+00	2.764241e+00
4.100000000000001e+00	2.765232e+00
4.200000000000000e+00	2.766222e+00
4.300000000000000e+00	2.767212e+00
4.400000000000000e+00	2.768202e+00
4.500000000000000e+00	2.769192e+00
4.600000000000001e+00	2.770181e+00
4.700000000000000e+00	2.771171e+00
4.800000000000001e+00	2.772161e+00
4.900000000000000e+00	2.773150e+00
5.000000000000000e+00	2.774139e+00
5.100000000000001e+00	2.775128e+00
5.200000000000000e+00	2.776117e+00
5.300000000000001e+00	2.777106e+00
5.400000000000000e+00	2.778095e+00
5.500000000000000e+00	2.779083e+00
5.600000000000001e+00	2.780072e+00
5.700000000000000e+00	2.781060e+00
5.800000000000001e+00	2.782048e+00
5.900000000000000e+00	2.783036e+00
6.000000000000000e+00	2.784024e+00
6.100000000000001e+00	2.785012e+00
6.200000000000000e+00	2.786000e+00
6.300000000000001e+00	2.786988e+00
6.400000000000000e+00	2.787975e+00
6.500000000000000e+00	2.788962e+00
6.600000000000001e+00	2.789950e+00
6.700000000000000e+00	2.790937e+00
6.800000000000001e+00	2.791924e+00
6.900000000000000e+00	2.792911e+00
7.000000000000000e+00	2.793897e+00
7.100000000000001e+00	2.794884e+00
7.200000000000000e+00	2.795871e+00
7.300000000000001e+00	2.796857e+00
7.400000000000000e+00	2.797843e+00
7.500000000000000e+00	2.798829e+00
7.600000000000001e+00	2.799815e+00
7.700000000000000e+00	2.800801e+00
7.800000000000001e+00	2.801787e+00
7.900000000000000e+00	2.802773e+00
8.000000000000000e+00	2.803758e+00
8.100000000000000e+00	2.804744e+00
8.200000000000001e+00	2.805729e+00
8.300000000000001e+00	2.806714e+00
8.400000000000000e+00	2.807699e+00
8.500000000000000e+00	2.808684e+00
8.600000000000000e+00	2.809669e+00
8.700000000000001e+00	2.810653e+00
8.800000000000001e+00	2.811638e+00
8.900000000000000e+00	2.812623e+00
9.000000000000000e+00	2.813607e+00
9.100000000000000e+00	2.814591e+00
9.200000000000001e+00	2.815575e+00
9.300000000000001e+00	2.816559e+00
9.400000000000000e+00	2.817543e+00
9.500000000000000e+00	2.818527e+00
9.600000000000001e+00	2.819510e+00
9.700000000000001e+00	2.820493e+00
9.800000000000001e+00	2.821477e+00
9.900000000000000e+00	2.822460e+00
1.000000000000000e+01	2.823443e+00
1.010000000000000e+01	2.824426e+00
1.020000000000000e+01	2.825409e+00
1.030000000000000e+01	2.826392e+00
1.040000000000000e+01	2.827374e+00
1.050000000000000e+01	2.828357e+00
1.060000000000000e+01	2.829339e+00
1.070000000000000e+01	2.830321e+00
1.080000000000000e+01	2.831303e+00
1.090000000000000e+01	2.832285e+00
1.100000000000000e+01	2.833267e+00
1.110000000000000e+01	2.834249e+00
1.120000000000000e+01	2.835231e+00
1.130000000000000e+01	2.836212e+00
1.140000000000000e+01	2.837193e+00
1.150000000000000e+01	2.838175e+00
1.160000000000000e+01	2.839156e+00
1.170000000000000e+01	2.840137e+00
